cultivo,tipo_suelo,sistema_riego,area_ha,dias_ciclo,doy_inicio,capacidad_campo,punto_marchitez,prof_raiz_m,et0_promedio_mmdia,et0_maximo_mmdia,lluvia_total_mm,etc_total_mm,kc_promedio,humedad_suelo_promedio,deficit_hidrico_frac,n_riegos,volumen_agua_total_m3_ha,rendimiento_real_ton_ha
Maíz,franco,gravedad,69.39,140,32,0.3,0.16,0.69,7.04,10.623,14.87,892.39,0.847,0.257,0.0,15,13727.21,9.823
Maíz,franco-arcilloso,gravedad,22.44,140,255,0.36,0.2,0.54,4.413,7.462,37.74,480.71,0.847,0.3169,0.0,9,6522.07,9.111
Maíz,franco,gravedad,78.92,140,314,0.3,0.16,0.55,4.367,7.055,34.79,527.52,0.847,0.2605,0.0,10,7104.98,8.184
Maíz,franco-arcilloso,aspersion,62.93,140,170,0.36,0.2,0.69,7.132,9.856,142.45,802.26,0.847,0.3195,0.0,12,8423.29,9.491
Maíz,franco-arcilloso,gravedad,76.15,140,32,0.36,0.2,0.49,7.079,10.198,1.87,897.88,0.847,0.3052,0.0,18,13752.29,10.58
Maíz,franco-arcilloso,gravedad,67.75,140,211,0.36,0.2,0.51,5.591,9.261,104.66,607.33,0.847,0.3107,0.0,10,7648.65,10.005
Maíz,arcilloso,aspersion,38.47,140,21,0.42,0.22,0.59,6.527,10.32,26.67,829.0,0.847,0.3709,0.0,13,10261.88,9.147
Maíz,franco-arenoso,aspersion,18.95,140,84,0.24,0.12,0.6,8.281,10.394,108.71,1017.23,0.847,0.1999,0.0,21,11749.14,9.402
Maíz,franco-arcilloso,gravedad,52.94,140,188,0.36,0.2,0.69,6.417,10.1,101.63,704.9,0.847,0.3158,0.0,10,9998.54,9.762
Maíz,franco,gravedad,61.85,140,253,0.3,0.16,0.62,4.418,7.19,57.44,483.53,0.847,0.2666,0.0,9,6680.21,9.097
Maíz,arcilloso,gravedad,78.99,140,241,0.42,0.22,0.7,4.692,8.036,88.44,508.9,0.847,0.3736,0.0,5,6080.27,11.019
Maíz,franco,gravedad,57.5,140,246,0.3,0.16,0.62,4.656,8.34,84.88,504.78,0.847,0.264,0.0,9,6753.73,10.522
Maíz,arcilloso,gravedad,47.17,140,44,0.42,0.22,0.64,7.403,10.135,8.98,932.83,0.847,0.366,0.0,13,14870.51,9.717
Maíz,arcilloso,gravedad,46.98,140,239,0.42,0.22,0.68,4.766,8.15,58.1,517.81,0.847,0.3752,0.0,7,7473.55,10.217
Maíz,franco,gravedad,24.28,140,344,0.3,0.16,0.45,5.156,8.813,10.4,651.55,0.847,0.2621,0.0,20,10373.8,9.449
Maíz,franco-arenoso,gravedad,22.75,140,283,0.24,0.12,0.64,4.074,6.315,5.84,466.42,0.847,0.2048,0.0,10,7155.31,10.564
Maíz,franco-arcilloso,gravedad,19.86,140,135,0.36,0.2,0.67,8.0,10.133,186.99,935.48,0.847,0.3107,0.0,11,11203.45,10.185
