vol_total_m3_ha,n_eventos,vol_media_evento,vol_cv,max_gap_dias,costo_total_mxn,sistema_riego_num,anomaly_score,clasificacion,id_parcela,ciclo_agricola,ciclo_corto,anomalia_predicha,ground_truth,tipo_anomalia_real
16828.76,8.0,2103.595,0.30421376,33.0,943516.3,0.0,-0.7053784732170614,Anomalía,84cb8d9b-98e2-45bd-9d7e-beb70a27b3fa,OI-2024,OI-2024,1,1,AGRICULTOR_INEFICIENTE
14456.26,8.0,1807.0325,0.5857185,69.0,786243.0,0.0,-0.6774967300847958,Anomalía,84cb8d9b-98e2-45bd-9d7e-beb70a27b3fa,OI-2026,OI-2026,1,1,AGRICULTOR_INEFICIENTE
9892.18,10.0,989.218,1.7607045,77.0,502605.4,1.0,-0.6705246563571612,Anomalía,6455e61d-8caf-4f10-939c-43bfc496bba0,OI-2023,OI-2023,1,1,GAP_FALLA_EQUIPO
14903.42,9.0,1655.9355,0.19250306,42.0,825584.6,0.0,-0.6660464318419116,Anomalía,84cb8d9b-98e2-45bd-9d7e-beb70a27b3fa,PV-2025,PV-2025,1,1,AGRICULTOR_INEFICIENTE
14838.75,10.0,1483.875,1.5087659,34.0,559495.3,0.0,-0.6610887035802391,Anomalía,8dd75c08-6935-4e65-9ad3-e3872fb57333,PV-2025,PV-2025,1,1,SOBRE_RIEGO
18842.75,10.0,1884.275,1.0396583,36.0,517354.03,0.0,-0.6473056758861445,Anomalía,5374f8cc-a791-41ed-8bd8-7bf2489fe200,PV-2026,PV-2026,1,1,SOBRE_RIEGO
16373.71,8.0,2046.7137,1.1805575,42.0,256164.25,0.0,-0.6374459001884311,Anomalía,9cf09513-1f3f-4105-afa9-7c5b2e337f45,OI-2022,OI-2022,1,1,SOBRE_RIEGO
13476.92,8.0,1684.615,0.46027508,47.0,754662.2,0.0,-0.6233071559595363,Anomalía,84cb8d9b-98e2-45bd-9d7e-beb70a27b3fa,PV-2026,PV-2026,1,1,AGRICULTOR_INEFICIENTE
4854.99,29.0,167.41345,0.917169,15.0,70724.83,3.0,-0.6222169532095679,Anomalía,20312ef3-0be2-4016-865f-3a96bc15510f,PV-2022,PV-2022,1,1,SOBRE_RIEGO
3753.33,15.0,250.222,0.9252251,56.0,50275.82,3.0,-0.6181747353343253,Anomalía,dc122a8d-5138-4221-80ec-bb67ad9e3e42,PV-2022,PV-2022,1,1,GAP_FALLA_EQUIPO
14350.43,13.0,1103.8793,0.8316715,32.0,819025.44,0.0,-0.6110000194323876,Anomalía,84cb8d9b-98e2-45bd-9d7e-beb70a27b3fa,PV-2021,PV-2021,1,1,AGRICULTOR_INEFICIENTE
14234.12,15.0,948.94135,0.6942746,22.0,748989.3,0.0,-0.6107628072382018,Anomalía,84cb8d9b-98e2-45bd-9d7e-beb70a27b3fa,PV-2024,PV-2024,1,1,AGRICULTOR_INEFICIENTE
11210.24,20.0,560.512,1.2404548,52.0,367573.7,1.0,-0.6080727481338858,Anomalía,7fe1aeb7-a6db-4eef-9ec2-7b519d1ca0e8,OI-2022,OI-2022,1,1,SOBRE_RIEGO
13499.28,13.0,1038.4061,0.9635484,37.0,743500.2,0.0,-0.6070146982219086,Anomalía,84cb8d9b-98e2-45bd-9d7e-beb70a27b3fa,PV-2022,PV-2022,1,1,SOBRE_RIEGO
14386.64,11.0,1307.8763,0.51408213,31.0,776783.75,0.0,-0.6068054245806139,Anomalía,84cb8d9b-98e2-45bd-9d7e-beb70a27b3fa,OI-2025,OI-2025,1,1,AGRICULTOR_INEFICIENTE
4703.24,11.0,427.56726,0.3237366,69.0,115090.58,2.0,-0.5897861137366502,Anomalía,5ddf7399-e390-4a8e-ace0-651a67542da2,PV-2021,PV-2021,1,1,GAP_FALLA_EQUIPO
7723.16,6.0,1287.1934,0.54464924,85.0,423467.06,0.0,-0.5887745832915063,Anomalía,24efb028-0f2a-46ea-b50f-4a1f908475d4,OI-2024,OI-2024,1,1,GAP_FALLA_EQUIPO
17900.98,9.0,1988.9978,0.7056971,50.0,285414.8,0.0,-0.585317704506874,Anomalía,4bc49af1-136c-4f88-a323-d6246ea051d9,OI-2025,OI-2025,1,1,AGRICULTOR_INEFICIENTE
6943.95,5.0,1388.79,0.76775295,80.0,90606.42,0.0,-0.5846177936027084,Anomalía,81ce05c0-a141-4331-89e6-fa83efbf9bf8,PV-2023,PV-2023,1,1,GAP_FALLA_EQUIPO
11119.0,25.0,444.76,0.72503823,28.0,166184.83,3.0,-0.58451244160157,Anomalía,4f4516bb-0eab-4eac-84d9-da5e113b8512,PV-2023,PV-2023,1,1,AGRICULTOR_INEFICIENTE
5324.36,8.0,665.545,1.1214234,69.0,53982.53,0.0,-0.583953478632916,Anomalía,8fd3f47d-3254-4408-a5b0-10664476d9d4,PV-2026,PV-2026,1,1,GAP_FALLA_EQUIPO
