id_costo,id_parcela,ciclo_agricola,cultivo,volumen_agua_total_m3,costo_agua_mxn,costo_fertilizantes_mxn,costo_agroquimicos_mxn,costo_semilla_mxn,costo_maquinaria_mxn,costo_mano_obra_mxn,ingreso_estimado_mxn,margen_contribucion_mxn
a182f80a-c580-41f8-adf3-40308c6754a1,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,Uva,173602.18,291651.67,92734.68,141654.37,35393.51,261967.92,103409.1,12037154.98,11110343.72
51e7a76f-9d1f-4263-8aaa-a8762f79d0e4,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,PV-2021,Maíz,147373.13,247586.86,139024.87,151166.77,59043.06,224603.5,140156.51,1177939.43,216357.86
d2683442-2a91-4269-872a-86e7c48d35f3,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2022,Chile,156030.29,262130.88,238578.71,135784.21,77554.64,204601.84,111290.9,8297240.98,7267299.8
95f14959-a2b1-4e47-87c0-7012d2f76faf,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,PV-2022,Chile,185497.55,311635.89,216466.62,175576.67,44144.87,214893.59,106698.82,9955275.27,8885858.82
39c9fed4-a11f-4504-b07f-7412342cf856,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2023,Frijol,146309.2,245799.46,185859.41,124130.12,71099.85,219028.0,164987.54,654068.39,-356836.0
745b40bd-3381-4e1b-9d7b-1ea7e23d01b2,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,PV-2023,Uva,101652.52,170776.24,119368.93,69561.25,132772.67,101352.48,246354.67,10414074.38,9573888.14
9f4478f1-b225-429e-ac96-550efe9883e6,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2024,Chile,107832.35,181158.34,77251.8,96573.19,92730.23,236313.09,163116.2,7488034.92,6640892.05
d0717e8c-7bdc-4328-9c65-a79a50f43d6e,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,PV-2024,Uva,191847.82,322304.33,190045.84,68170.41,44160.82,126563.16,147348.19,12437686.3,11539093.55
c2d1b519-64d4-4394-afb9-f72830cbc2a9,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2025,Chile,173395.29,291304.08,117373.01,64907.87,101375.27,113029.66,166144.02,8718571.7,7864437.78
e7fc9fb5-8566-45e5-9a31-cd4ace2ce19d,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,PV-2025,Maíz,74586.16,125304.76,161127.79,136055.78,87182.94,171371.26,158377.86,955061.5,115641.11
a1780fcc-9743-4a5b-900f-c51962fcf8da,879990a6-4731-42b8-b1f8-6a2cf24033b9,OI-2021,Chile,116331.13,195436.29,38490.62,64035.83,81746.27,133538.77,59583.8,5715849.31,5143017.73
