id_riego,id_parcela,ciclo_agricola,id_recomendacion,fecha_riego,volumen_m3_ha,lamina_mm,duracion_horas,metodo_riego,origen_decision,costo_energia_mxn,ciclo_vol_target_m3_ha,observaciones,created_at
75a454c5-92ff-4c98-a9df-1104b2169825,63b4f127-a33b-462d-94a1-1b5da940952d,OI-2021,809f5ab5-7fc7-4f5f-8adc-5dd152336871,2020-10-24,673.55,67.36,13.19,gravedad,sistema,22669.47,6192.85,,2020-10-24T14:58:00+00:00
dc94c400-c995-4b8e-b492-9bfa99e8e10e,63b4f127-a33b-462d-94a1-1b5da940952d,OI-2021,,2020-10-30,972.49,97.25,16.5,gravedad,sistema,28463.06,6192.85,,2020-10-30T18:00:00+00:00
fd743f63-edd7-48d9-88d8-8ae9083d3004,63b4f127-a33b-462d-94a1-1b5da940952d,OI-2021,,2020-11-04,245.9,24.59,4.15,gravedad,sistema,8839.13,6192.85,,2020-11-04T08:14:00+00:00
f11def1e-ddf8-493a-a5da-c91c72e4b8c0,63b4f127-a33b-462d-94a1-1b5da940952d,OI-2021,17d79926-85f9-4879-b105-ce7692c26ead,2020-11-14,563.65,56.37,11.22,gravedad,voz,15741.0,6192.85,,2020-11-14T08:41:00+00:00
e3442654-73b7-4928-a1f9-42a411c552d7,63b4f127-a33b-462d-94a1-1b5da940952d,OI-2021,587be71f-5bc5-4e51-87b7-ac1fd977d112,2021-01-20,791.12,79.11,13.66,gravedad,voz,27418.21,6192.85,,2021-01-20T14:11:00+00:00
6d6b7538-d94e-42c0-a07f-6b5ccdc91196,63b4f127-a33b-462d-94a1-1b5da940952d,OI-2021,a5f6d749-b9b2-4f24-aca3-b20b0a2b7987,2021-01-20,398.56,39.86,8.17,gravedad,manual,13231.36,6192.85,,2021-01-20T10:03:00+00:00
4366b015-842f-4eec-a255-fac0fde8e372,63b4f127-a33b-462d-94a1-1b5da940952d,OI-2021,,2021-02-08,1219.16,121.92,20.81,gravedad,manual,43566.28,6192.85,,2021-02-08T07:28:00+00:00
6270fd1e-1e5f-4ed3-b7a2-9549c235f1a1,63b4f127-a33b-462d-94a1-1b5da940952d,OI-2021,626271c3-54f8-4224-829b-562ed315b074,2021-02-25,614.39,61.44,15.93,gravedad,manual,20770.82,6192.85,,2021-02-25T10:23:00+00:00
ed79c959-f520-4d6b-985d-69096697e0c3,63b4f127-a33b-462d-94a1-1b5da940952d,OI-2021,,2021-02-27,714.02,71.4,16.15,gravedad,voz,19995.18,6192.85,,2021-02-27T08:45:00+00:00
7c76f363-b2e5-4752-938a-8e570481d5f6,63b4f127-a33b-462d-94a1-1b5da940952d,PV-2021,798c80d9-9e83-46b8-a50a-144afefaa3a6,2021-04-02,233.07,23.31,3.95,gravedad,manual,6986.1,7183.77,,2021-04-02T17:05:00+00:00
0ce380f3-9163-4259-a414-95d13b8bfa75,63b4f127-a33b-462d-94a1-1b5da940952d,PV-2021,3da35788-cf34-4b1d-b6c1-77547fd61952,2021-04-02,410.04,41.0,9.21,gravedad,manual,12536.79,7183.77,,2021-04-02T17:09:00+00:00
af4d375c-c11d-434d-bc6a-2b2869dc8d8d,63b4f127-a33b-462d-94a1-1b5da940952d,PV-2021,,2021-04-15,662.91,66.29,11.62,gravedad,manual,18061.53,7183.77,,2021-04-15T06:57:00+00:00
843bf67a-3de8-4c42-9048-c06993e3ab02,63b4f127-a33b-462d-94a1-1b5da940952d,PV-2021,9ee4ac38-eff2-45ca-9f44-7a49eb6582ad,2021-04-30,670.01,67.0,11.0,gravedad,voz,18603.84,7183.77,,2021-04-30T08:47:00+00:00
9b188ae8-6ef2-459d-9180-f8cc8d293680,63b4f127-a33b-462d-94a1-1b5da940952d,PV-2021,6626d463-82cd-4f6c-8e30-9ec177e36b69,2021-05-13,1388.02,138.8,24.0,gravedad,manual,45117.92,7183.77,,2021-05-13T13:02:00+00:00
6dbefb4d-18a5-4993-a2e1-4f9f4a2b4ae1,63b4f127-a33b-462d-94a1-1b5da940952d,PV-2021,c05a95bd-c803-4a95-b142-662b7f50ddcc,2021-05-16,102.12,10.21,1.81,gravedad,sistema,3273.39,7183.77,,2021-05-16T13:16:00+00:00
f9104fe5-610f-4648-859a-df343bd5a7f0,63b4f127-a33b-462d-94a1-1b5da940952d,PV-2021,,2021-06-03,91.57,9.16,2.14,gravedad,manual,2613.26,7183.77,,2021-06-03T13:59:00+00:00
27a8b637-cecc-4cca-a42f-4f732d7c264e,63b4f127-a33b-462d-94a1-1b5da940952d,PV-2021,,2021-06-10,339.48,33.95,6.04,gravedad,sistema,11322.19,7183.77,,2021-06-10T14:08:00+00:00
