id_parcela,id_usuario,id_cultivo_actual,nombre_parcela,geom,area_ha,tipo_suelo,conductividad_electrica,profundidad_raiz_cm,capacidad_campo,punto_marchitez,sistema_riego,activo,created_at
63b4f127-a33b-462d-94a1-1b5da940952d,4dfb1bcc-997a-41a2-825d-78c9fc95044d,b1c20edc-4510-4002-a730-5ad4356dba91,Lote Maí-001,"{""type"": ""Polygon"", ""coordinates"": [[[-109.979305, 27.386229], [-109.975705, 27.386229], [-109.975705, 27.391024], [-109.979305, 27.391024], [-109.979305, 27.386229]]]}",18.8866,arcilloso,1.18,99,0.3007,0.2182,gravedad,True,2025-07-05T10:32:03+00:00
ce83cb07-58f6-4daf-a6e3-1ee72480447b,4b54daf2-987b-4059-a1b6-5e2a1983d28c,b1c20edc-4510-4002-a730-5ad4356dba91,Lote Maí-002,"{""type"": ""Polygon"", ""coordinates"": [[[-109.911026, 27.428652], [-109.908091, 27.428652], [-109.908091, 27.432561], [-109.911026, 27.432561], [-109.911026, 27.428652]]]}",12.5542,franco,1.66,126,0.2511,0.0929,aspersion,True,2026-02-10T03:31:03+00:00
5ddf7399-e390-4a8e-ace0-651a67542da2,bec519f0-27d3-40aa-8702-3f9daf62b70e,b6e29a2a-a7a6-4cfc-b00d-0dbb8304729d,Lote Fri-003,"{""type"": ""Polygon"", ""coordinates"": [[[-109.940778, 27.440278], [-109.937618, 27.440278], [-109.937618, 27.444488], [-109.940778, 27.444488], [-109.940778, 27.440278]]]}",14.5567,arenoso,3.65,90,0.2441,0.1626,microaspersion,True,2025-06-18T02:01:03+00:00
eebee71b-b00b-4a44-b941-73e1c260c706,3df7dd0d-8656-4a87-9657-e5b6465bf9fd,3fae9720-89c2-4356-adb9-cd54f91d3882,Lote Chi-004,"{""type"": ""Polygon"", ""coordinates"": [[[-109.878913, 27.331952], [-109.87537, 27.331952], [-109.87537, 27.336672], [-109.878913, 27.336672], [-109.878913, 27.331952]]]}",18.2952,arcilloso,2.09,146,0.2998,0.131,gravedad,True,2025-06-18T14:58:03+00:00
b1da7fe5-e177-4f94-81e5-3dad69d2c13d,86da88b3-dbc3-4bdf-89ec-0d84cbf360fe,b6e29a2a-a7a6-4cfc-b00d-0dbb8304729d,Lote Fri-005,"{""type"": ""Polygon"", ""coordinates"": [[[-110.016919, 27.289342], [-110.01434, 27.289342], [-110.01434, 27.292777], [-110.016919, 27.292777], [-110.016919, 27.289342]]]}",9.6925,franco-arenoso,1.51,126,0.2597,0.132,gravedad,True,2025-11-02T11:13:03+00:00
85be4752-4bd9-4eff-a359-e17047ad49e1,77890133-fd37-4e83-b67d-0a80b3e059ca,835d37d0-113b-4f76-a102-005e5bf14054,Lote Uva-006,"{""type"": ""Polygon"", ""coordinates"": [[[-109.889282, 27.402823], [-109.886829, 27.402823], [-109.886829, 27.40609], [-109.889282, 27.40609], [-109.889282, 27.402823]]]}",8.7642,franco-arenoso,1.67,126,0.2963,0.0896,microaspersion,True,2025-11-18T23:47:03+00:00
ddc49f6a-26d2-449f-b5f9-028051bf0aee,eef355b8-2cc5-4979-8c38-150728a4e340,b1c20edc-4510-4002-a730-5ad4356dba91,Lote Maí-007,"{""type"": ""Polygon"", ""coordinates"": [[[-109.897402, 27.301326], [-109.895084, 27.301326], [-109.895084, 27.304413], [-109.897402, 27.304413], [-109.897402, 27.301326]]]}",7.8311,arcilloso,3.86,114,0.3365,0.1731,gravedad,True,2026-02-05T00:23:03+00:00
bbe0d9f4-8075-4afd-a43e-5602f914bd48,bec519f0-27d3-40aa-8702-3f9daf62b70e,b1c20edc-4510-4002-a730-5ad4356dba91,Lote Maí-008,"{""type"": ""Polygon"", ""coordinates"": [[[-109.843553, 27.278241], [-109.840936, 27.278241], [-109.840936, 27.281728], [-109.843553, 27.281728], [-109.843553, 27.278241]]]}",9.9851,franco-limoso,2.88,189,0.3108,0.1678,gravedad,True,2025-06-27T13:29:03+00:00
84cb8d9b-98e2-45bd-9d7e-beb70a27b3fa,641616f1-6d0a-4fa6-9a0a-29c1bb2d84a6,3fae9720-89c2-4356-adb9-cd54f91d3882,Lote Chi-009,"{""type"": ""Polygon"", ""coordinates"": [[[-109.911441, 27.370367], [-109.906714, 27.370367], [-109.906714, 27.376665], [-109.911441, 27.376665], [-109.911441, 27.370367]]]}",32.5767,franco-arcilloso,4.77,81,0.3037,0.2418,gravedad,True,2025-12-12T16:47:03+00:00
6906ce52-e8b0-4489-ac75-5548d7c2b754,d04b7eb5-cb55-46ff-94f2-cf982296b5b2,b6e29a2a-a7a6-4cfc-b00d-0dbb8304729d,Lote Fri-010,"{""type"": ""Polygon"", ""coordinates"": [[[-109.87155, 27.395021], [-109.869402, 27.395021], [-109.869402, 27.397883], [-109.87155, 27.397883], [-109.87155, 27.395021]]]}",6.7294,franco-arcilloso,1.86,158,0.273,0.1246,gravedad,True,2026-04-30T00:09:03+00:00
