id_recomendacion,id_parcela,id_cultivo,fecha_generacion,fecha_riego_sugerida,lamina_recomendada_mm,eto_referencia,etc_calculada,deficit_acumulado_mm,dias_sin_riego,nivel_urgencia,algoritmo_version,aceptada,lamina_ejecutada_mm,parametros_json
39860050-defc-4461-8afa-3f11b8ef415a,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2022-01-21T20:45:57+00:00,2022-01-28,70.45,6.708,7.557,88.01,12,critico,fao56-v0.2,aceptada,70.45,"{""eto_mm"": 6.708, ""kc"": 1.127, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.215, ""profundidad_raiz_cm"": 99}"
d293e3b1-6180-4af4-bd8d-864256369c4c,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,dfdc996a-824e-42d0-8b0d-5e1d805bcf95,2022-01-17T16:40:57+00:00,2022-01-20,36.79,4.505,1.629,24.36,17,preventivo,fao56-v0.2,pendiente,,"{""eto_mm"": 4.505, ""kc"": 0.361, ""cultivo"": ""Uva"", ""humedad_suelo_pct"": 0.308, ""profundidad_raiz_cm"": 99}"
ed2b5bd6-7492-4697-ba1f-1d998e03ebdb,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2025-08-18T07:34:57+00:00,2025-08-21,99.36,6.788,2.481,43.48,17,moderado,fao56-v0.2,aceptada,99.36,"{""eto_mm"": 6.788, ""kc"": 0.366, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.302, ""profundidad_raiz_cm"": 99}"
6c955ce7-a411-4444-91c3-81241e54d811,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2023-07-16T18:23:57+00:00,2023-07-23,82.29,2.999,1.876,54.02,11,moderado,fao56-v0.2,pendiente,,"{""eto_mm"": 2.999, ""kc"": 0.626, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.204, ""profundidad_raiz_cm"": 99}"
a411d3c4-7d55-470b-a929-1d94553aed5f,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,dfdc996a-824e-42d0-8b0d-5e1d805bcf95,2022-08-12T21:46:57+00:00,2022-08-17,62.32,5.095,3.407,69.75,12,moderado,fao56-v0.2,aceptada,62.32,"{""eto_mm"": 5.095, ""kc"": 0.669, ""cultivo"": ""Uva"", ""humedad_suelo_pct"": 0.282, ""profundidad_raiz_cm"": 99}"
3f6a090f-0bfb-49a7-bc9a-f409d9ceeb12,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,dfdc996a-824e-42d0-8b0d-5e1d805bcf95,2024-05-04T07:32:57+00:00,2024-05-07,18.44,7.372,3.788,60.62,3,moderado,fao56-v0.2,pendiente,,"{""eto_mm"": 7.372, ""kc"": 0.514, ""cultivo"": ""Uva"", ""humedad_suelo_pct"": 0.348, ""profundidad_raiz_cm"": 99}"
8fcd89fa-1e48-42f2-91c0-fc0347799023,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2022-11-19T07:14:57+00:00,2022-11-26,40.04,7.916,5.711,62.91,12,moderado,fao56-v0.2,aceptada,40.04,"{""eto_mm"": 7.916, ""kc"": 0.722, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.24, ""profundidad_raiz_cm"": 99}"
b34211aa-43b4-4799-a790-cf0f8d35c261,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,dfdc996a-824e-42d0-8b0d-5e1d805bcf95,2025-08-21T21:17:57+00:00,2025-08-28,101.86,8.044,5.551,55.08,17,moderado,fao56-v0.2,ignorada,,"{""eto_mm"": 8.044, ""kc"": 0.69, ""cultivo"": ""Uva"", ""humedad_suelo_pct"": 0.354, ""profundidad_raiz_cm"": 99}"
2335505c-45fc-4814-acef-b90514d9e52c,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2022-07-05T08:02:57+00:00,2022-07-06,55.29,3.699,2.439,37.77,3,moderado,fao56-v0.2,aceptada,55.29,"{""eto_mm"": 3.699, ""kc"": 0.659, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.315, ""profundidad_raiz_cm"": 99}"
9380aff1-0db0-4d90-b334-d30ce74d232c,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2023-05-01T00:55:57+00:00,2023-05-06,66.44,9.137,10.798,78.8,4,moderado,fao56-v0.2,ignorada,,"{""eto_mm"": 9.137, ""kc"": 1.182, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.392, ""profundidad_raiz_cm"": 99}"
