id_riego,id_parcela,id_ciclo,fecha_riego,cultivo,etapa_fenologica,eto_mm,kc,etc_mm,lamina_neta_mm,lamina_bruta_mm,eficiencia_riego,volumen_m3ha,volumen_total_m3,sobre_riego_pct,deficit_hidrico_mm,metodo_riego,costo_agua_mxn,costo_energia_mxn,energia_kwh,origen_decision,cumplimiento_fao56,alerta
9787d4c7-4226-431e-b6c7-fb12592c71d5,PAR-001,CIC-2025-PV,2025-03-09,Chile,Inicial,6.29,0.56,3.522,37.78,47.22,0.8,472.2,16763.1,32.0,0.0,Aspersion,28162.01,11898.13,5173.1,Experiencia del operador,False,
f703ea42-ad18-43cb-9b37-08e8422a6d7e,PAR-001,CIC-2025-PV,2025-03-17,Chile,Inicial,5.83,0.62,3.615,40.45,50.56,0.8,505.6,17948.8,32.0,0.0,Aspersion,30153.98,12739.7,5539.0,Experiencia del operador,False,
a571254f-7252-4263-8359-629a54024f9a,PAR-001,CIC-2025-PV,2025-03-18,Chile,Inicial,6.03,0.58,3.497,38.7,48.37,0.8,483.7,17171.3,32.0,0.0,Aspersion,28847.78,12187.93,5299.1,Manual,False,Eficiencia baja
a429df81-d7e5-4a6e-a505-7165dfb6d790,PAR-001,CIC-2025-PV,2025-03-27,Chile,Desarrollo,6.1,0.603,3.678,43.8,54.75,0.8,547.5,19436.2,32.0,0.0,Aspersion,32652.82,13795.4,5998.0,Manual,False,Eficiencia baja
dfcf4093-67ea-407a-8776-ea21ebdcb882,PAR-001,CIC-2025-PV,2025-04-13,Chile,Desarrollo,7.29,0.801,5.839,57.63,72.04,0.8,720.4,25574.2,8.0,41.63,Aspersion,42964.66,18152.06,7892.2,Experiencia del operador,True,
720f44cb-2b53-4e54-bedd-29e566ad68a6,PAR-001,CIC-2025-PV,2025-04-30,Chile,Desarrollo,7.55,1.05,7.928,79.4,99.25,0.8,992.5,35233.8,8.0,55.38,Aspersion,59192.78,25008.36,10873.2,Manual,True,
7e3f0244-4b23-4e57-b4b7-22bbc39f1682,PAR-001,CIC-2025-PV,2025-05-01,Chile,Media,8.43,1.06,8.936,69.15,86.44,0.8,864.4,30686.2,32.0,0.0,Aspersion,51552.82,21780.54,9469.8,Manual,False,
d1885177-0f30-4059-bcf2-3c8b9687f8a6,PAR-001,CIC-2025-PV,2025-05-26,Chile,Media,8.5,1.07,9.095,87.26,109.07,0.8,1090.7,38719.8,8.0,140.12,Aspersion,65049.26,27482.47,11948.9,Manual,False,Deficit acumulado
30b4301b-dbb5-477e-8794-feeb821f4c2f,PAR-001,CIC-2025-PV,2025-06-02,Chile,Media,9.07,1.02,9.251,72.59,90.74,0.8,907.4,32212.7,12.1,0.0,Aspersion,54117.34,22863.84,9940.8,Manual,False,
19247a14-6d3e-4799-af6e-1fbf0e9e2e13,PAR-001,CIC-2025-PV,2025-06-04,Chile,Media,9.18,1.02,9.364,80.15,100.19,0.8,1001.9,35567.4,32.0,0.0,Aspersion,59753.23,25245.03,10976.1,Manual,False,
