id_parcela,nombre_parcela,modulo_dr041,superficie_ha,cultivo_actual,sistema_riego_2025,sistema_riego_2026,eficiencia_riego_2025,eficiencia_riego_2026,tipo_suelo,conductividad_electrica,profundidad_raiz_cm,capacidad_campo,punto_marchitez,latitud,longitud,activo,adopcion_milpin,anio_registro
PAR-001,Parcela PAR-001,Modulo 3C,35.5,Chile,Aspersion,Microaspersion,0.8,0.82,Limoso,1.61,90,0.408,0.172,27.48,-110.25,True,True,2025
PAR-002,Parcela PAR-002,Modulo 3C,26.6,Frijol,Microaspersion,Microaspersion,0.82,0.82,Limoso,2.12,40,0.409,0.156,27.74,-109.71,True,True,2025
PAR-003,Parcela PAR-003,Modulo 3B,7.3,Frijol,Gravedad,Aspersion,0.65,0.8,Limoso,2.11,40,0.413,0.125,27.77,-109.98,True,True,2025
PAR-004,Parcela PAR-004,Modulo 3B,31.4,Frijol,Aspersion,Microaspersion,0.8,0.82,Limoso,2.44,50,0.303,0.152,27.74,-109.81,True,True,2025
PAR-005,Parcela PAR-005,Modulo 3B,21.0,Algodon,Gravedad,Gravedad,0.65,0.65,Arcillo-limoso,1.13,50,0.341,0.151,27.22,-110.39,True,True,2025
PAR-006,Parcela PAR-006,Modulo 3B,13.8,Chile,Aspersion,Aspersion,0.8,0.8,Franco-arcilloso,0.98,40,0.379,0.124,27.7,-110.35,True,True,2025
PAR-007,Parcela PAR-007,Modulo 3D,31.8,Algodon,Gravedad,Microaspersion,0.65,0.82,Franco,3.18,80,0.355,0.163,27.46,-109.78,True,True,2025
PAR-008,Parcela PAR-008,Modulo 3A,8.8,Frijol,Aspersion,Gravedad,0.8,0.65,Franco-arenoso,3.13,40,0.33,0.145,27.58,-109.62,True,True,2025
PAR-009,Parcela PAR-009,Modulo 3C,21.1,Maiz,Aspersion,Gravedad,0.8,0.65,Arcillo-limoso,1.32,80,0.392,0.127,27.45,-110.07,True,True,2025
PAR-010,Parcela PAR-010,Modulo 3A,15.0,Uva,Gravedad,Goteo,0.65,0.9,Franco-arcilloso,2.29,40,0.342,0.172,27.57,-109.98,True,True,2025
PAR-011,Parcela PAR-011,Modulo 3A,42.1,Maiz,Gravedad,Aspersion,0.65,0.8,Franco,1.38,70,0.303,0.149,27.72,-110.28,True,True,2025
PAR-012,Parcela PAR-012,Modulo 3B,15.6,Uva,Microaspersion,Goteo,0.82,0.9,Franco-arenoso,2.77,80,0.32,0.162,27.58,-110.02,True,True,2025
PAR-013,Parcela PAR-013,Modulo 3B,13.7,Algodon,Aspersion,Aspersion,0.8,0.8,Franco-arcilloso,2.82,40,0.361,0.153,27.21,-110.03,True,True,2025
PAR-014,Parcela PAR-014,Modulo 3B,43.4,Maiz,Gravedad,Gravedad,0.65,0.65,Franco-arcilloso,0.98,50,0.399,0.124,27.42,-109.66,True,True,2025
PAR-015,Parcela PAR-015,Modulo 3C,28.8,Chile,Gravedad,Gravedad,0.65,0.65,Limoso,2.33,60,0.291,0.159,27.74,-110.25,True,True,2025
PAR-016,Parcela PAR-016,Modulo 3A,15.6,Frijol,Aspersion,Aspersion,0.8,0.8,Franco,1.65,40,0.374,0.138,27.19,-109.91,True,True,2025
PAR-017,Parcela PAR-017,Modulo 3C,26.5,Maiz,Gravedad,Gravedad,0.65,0.65,Limoso,3.18,50,0.317,0.176,27.4,-110.28,True,True,2025
PAR-018,Parcela PAR-018,Modulo 3C,44.4,Chile,Aspersion,Gravedad,0.8,0.65,Limoso,1.61,90,0.281,0.169,27.24,-109.71,True,True,2025
PAR-019,Parcela PAR-019,Modulo 3C,40.6,Maiz,Goteo,Microaspersion,0.9,0.82,Limoso,1.37,60,0.302,0.137,27.3,-109.9,True,True,2025
PAR-020,Parcela PAR-020,Modulo 3C,24.5,Chile,Gravedad,Microaspersion,0.65,0.82,Franco-arcilloso,1.55,40,0.293,0.145,27.38,-110.31,True,True,2025
