id_recomendacion,id_parcela,id_ciclo,fecha_generacion,fecha_riego_sugerida,lamina_recomendada_mm,eto_referencia,etc_calculada,deficit_acumulado_mm,nivel_urgencia,algoritmo_version,aceptada,ahorro_estimado_m3,ahorro_mxn,ahorro_kwh,prioridad_tecnificacion,migracion_sugerida,score_optimizacion,confianza_modelo,explicacion_ia
7d399042-3c56-477a-8e34-84faad595f70,PAR-001,CIC-2025-PV,2025-05-19,2025-05-22,29.3,8.76,9.023,24.17,Baja,MILPIN-v1.2,sin_respuesta,1441.3,2421.38,444.79,Alta,Gravedad -> Goteo,0.55,0.57,Patron historico + indices climaticos: riego optimo en 4 dias evita estres hidrico en etapa Media.
635a6a95-f9dd-41cd-a31d-d0f63ef04198,PAR-001,CIC-2025-PV,2025-03-08,2025-03-11,22.12,5.91,3.605,16.67,Media,MILPIN-v2.0,modificada,1089.9,1831.03,336.34,Alta,Microaspersion -> Goteo,0.39,0.71,Optimizacion turno nocturno 22-06 h: reduce evaporacion estimada 12-15%. Deficit actual 16.7 mm.
01d13ea5-82b3-45c0-a878-1adcbeb1bbde,PAR-001,CIC-2025-PV,2025-06-15,2025-06-19,33.98,8.8,9.011,26.8,Baja,MILPIN-v1.2,rechazada,1672.1,2809.13,516.01,Alta,Microaspersion -> Goteo,0.39,0.47,Score optimizacion 0.39: migracion Microaspersion -> Goteo proyecta ahorro 11% consumo anual con payback < 2 ciclos.
49c81f51-3a9d-4421-985c-26b33cc93e08,PAR-001,CIC-2025-PV,2025-06-05,2025-06-10,30.82,8.94,9.119,25.37,Media,MILPIN-v2.0,aceptada,1519.4,2552.59,468.89,Media,Mantener sistema actual,0.37,0.69,ETo proyectada 8.9 mm/dia (horizonte 7 dias). Kc=1.02 etapa Media. Aplicar lamina 31 mm.
2ac4d66c-bf30-4620-954a-8797466b7635,PAR-001,CIC-2025-OI,2025-11-12,2025-11-15,27.21,4.12,2.596,22.68,Media,MILPIN-v1.2,aceptada,1341.9,2254.39,414.11,Media,Microaspersion -> Goteo,0.61,0.5,Patron historico + indices climaticos: riego optimo en 3 dias evita estres hidrico en etapa Inicial.
24d385f6-dee0-4537-821e-7346786bc8f8,PAR-001,CIC-2025-OI,2026-04-14,2026-04-16,24.4,7.27,6.616,19.32,Alta,MILPIN-v1.2,modificada,1203.5,2021.88,371.4,Baja,Gravedad -> Microaspersion,0.48,0.45,Optimizacion turno nocturno 22-06 h: reduce evaporacion estimada 12-15%. Deficit actual 19.3 mm.
505a2b9a-4f1f-4685-8317-ad5d71a592a1,PAR-001,CIC-2025-OI,2026-04-14,2026-04-19,26.21,7.29,6.488,21.65,Media,MILPIN-v2.0,rechazada,1292.2,2170.9,398.77,Alta,Aspersion -> Goteo,0.34,0.7,Balance hidrico acumulado indica deficit de 21.6 mm. Riego preventivo recomendado en 3 dias.
a7054f08-8637-46f3-a274-f81d60837916,PAR-001,CIC-2026-PV,2026-10-09,2026-10-11,28.59,5.23,4.55,22.99,Baja,MILPIN-v1.3,aceptada,1100.5,1848.84,339.61,Baja,Mantener sistema actual,0.93,0.89,Score optimizacion 0.93: migracion Mantener sistema actual proyecta ahorro 9% consumo anual con payback < 2 ciclos.
58c8cbc2-1232-4646-8b6b-5e9ae1a0bd10,PAR-001,CIC-2026-PV,2026-06-20,2026-06-25,29.28,8.93,8.787,25.55,Media,MILPIN-v1.2,aceptada,1128.9,1896.55,348.38,Baja,Microaspersion -> Goteo,0.78,0.86,FAO-56 detecta inicio etapa media con Kc=0.98. Incrementar lamina un 9% respecto evento anterior.
2f9f7f6c-3344-44a1-88d9-0562e098779f,PAR-001,CIC-2026-PV,2026-03-06,2026-03-07,35.76,5.77,3.577,26.35,Baja,MILPIN-v2.0,aceptada,1377.4,2314.03,425.07,Media,Mantener sistema actual,0.84,0.89,Score optimizacion 0.84: migracion Mantener sistema actual proyecta ahorro 9% consumo anual con payback < 2 ciclos.
