id_riego,id_parcela,ciclo_agricola,id_recomendacion,fecha_riego,volumen_m3_ha,lamina_mm,duracion_horas,metodo_riego,origen_decision,costo_energia_mxn,ciclo_vol_target_m3_ha,observaciones,created_at
9ee3a806-7762-4d2e-893d-6e754b0847b3,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,6449b228-1ecf-47c2-8ebf-a65d5e2ab726,2020-10-18,184.08,18.41,3.32,aspersion,sistema,5141.81,5408.35,,2020-10-18T13:43:00+00:00
56045a05-9c37-4adf-84a0-3895c18b8d09,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,976617e2-3a2c-4c17-ba95-21b4314ee12a,2020-11-02,180.79,18.08,3.66,aspersion,sistema,6398.51,5408.35,,2020-11-02T11:16:00+00:00
47329af6-7857-4c1f-b2b6-d2e24ed9fdea,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,5f93e0e0-9fc6-452c-9b94-5ac8e4307182,2020-11-14,128.25,12.82,2.34,aspersion,manual,4416.82,5408.35,,2020-11-14T07:07:00+00:00
62f795a1-f3c8-4cd0-bb91-ad7cd2ecb1cb,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,6e508d1e-3a66-4c6a-bf7d-766e68acfff2,2020-11-14,288.34,28.83,6.59,aspersion,manual,10256.87,5408.35,,2020-11-14T06:53:00+00:00
595b8494-6d70-464d-937c-6c7331e43f7d,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,70ebdfc0-c16e-4ef6-a848-b5ec7e4e8def,2020-11-23,296.13,29.61,7.6,aspersion,sistema,10085.39,5408.35,,2020-11-23T14:23:00+00:00
0cc3aa97-5245-47e8-ac8e-e1aba7d63bd7,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,,2020-12-16,402.61,40.26,9.28,aspersion,sistema,13284.99,5408.35,,2020-12-16T06:53:00+00:00
782eafcc-f02d-414d-820f-b6e65b0d1d0c,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,,2020-12-18,550.91,55.09,8.11,aspersion,sistema,17300.28,5408.35,,2020-12-18T17:38:00+00:00
9baa3655-2bc5-4c29-b516-3ddd64c406b8,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,eaad0b71-08d9-4f1c-9010-8c713d1c9547,2020-12-25,977.95,97.79,18.91,aspersion,voz,34549.87,5408.35,,2020-12-25T08:52:00+00:00
57806946-55fe-483b-b982-e9fb434f8c09,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,,2020-12-27,317.28,31.73,5.44,aspersion,voz,9276.6,5408.35,,2020-12-27T07:18:00+00:00
4187751a-07ed-4b91-8a4f-ea86a2e61a8d,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,c5353c25-0c01-498b-8707-d01cc9c98c2d,2021-01-06,490.78,49.08,8.7,aspersion,sistema,15533.8,5408.35,,2021-01-06T07:49:00+00:00
52de1c87-fa12-4d0a-ac44-0aaea7159bbe,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,,2021-01-08,665.91,66.59,14.83,aspersion,sistema,19686.4,5408.35,,2021-01-08T14:38:00+00:00
e049bd3b-f9e6-4916-b5ac-d95603150ef0,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,OI-2021,00192eac-b608-46df-b6d4-b35b25562f3b,2021-02-05,228.03,22.8,5.83,aspersion,sistema,8189.86,5408.35,,2021-02-05T14:43:00+00:00
